City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
243,kimbe,-5.5502,150.1429,76.15,92,100,3.24,PG,1680543231
244,madang,-5.2246,145.7966,75.58,93,100,6.93,PG,1680543231
245,maun,-19.9833,23.4167,77.77,35,14,9.44,BW,1680543231
246,praya,14.9215,-23.5087,90.14,14,0,12.66,CV,1680543145
247,yangjiang,21.85,111.9667,72.39,95,8,7.72,CN,1680543232
248,huesca,42.1362,-0.4087,63.28,40,0,12.66,ES,1680543232
249,cheyenne,41.14,-104.8203,37.98,61,100,17.0,US,1680543100
250,montes claros,-16.735,-43.8617,82.18,42,40,8.05,BR,1680543233
251,vostok,46.4856,135.8833,39.92,84,100,4.92,RU,1680543233
252,paidha,2.4167,30.9855,62.65,93,100,4.5,UG,1680543234
253,nurota,40.5614,65.6886,53.47,71,71,0.47,UZ,1680543095
254,sao filipe,14.8961,-24.4956,76.06,68,8,8.32,CV,1680543235
255,tasiilaq,65.6145,-37.6368,26.76,79,100,5.32,GL,1680543235
256,iracoubo,5.4802,-53.2011,81.95,63,49,10.47,GF,1680543236
257,san patricio,28.017,-97.5169,89.17,50,68,16.22,US,1680543236
258,teahupoo,-17.8333,-149.2667,76.96,73,91,3.78,PF,1680543236
259,shellbrook,53.2168,-106.4011,9.63,75,100,6.17,CA,1680543237
260,itaituba,-4.2761,-55.9836,89.76,58,40,9.22,BR,1680543237
261,kirakira,-10.4544,161.9205,79.84,83,48,6.85,SB,1680543238
262,pokhara,28.2333,83.9833,64.06,61,84,2.75,NP,1680543238
263,gamba,-2.65,10.0,79.09,81,95,8.03,GA,1680543238
264,nadym,65.5333,72.5167,-10.48,96,7,6.15,RU,1680543238
265,westport,41.1415,-73.3579,57.61,44,0,9.22,US,1680543056
266,harper,4.375,-7.7169,82.26,76,64,7.49,LR,1680543239
267,padang,-0.9492,100.3543,77.0,85,100,2.73,ID,1680543240
268,okato,-39.2,173.8833,51.17,94,1,5.99,NZ,1680543240
269,aksu,41.1231,80.2644,47.64,16,0,10.69,CN,1680543240
270,toguchin,55.2353,84.3858,25.86,83,99,8.7,RU,1680543240
271,maryville,35.7565,-83.9705,60.01,63,100,3.44,US,1680542983
272,palmer,42.1584,-72.3287,54.57,31,20,16.11,US,1680542991
273,venice,27.0998,-82.4543,90.27,66,0,9.22,US,1680543241
274,rocha,-34.4833,-54.3333,61.68,87,100,4.45,UY,1680542966
275,kolokani,13.5728,-8.0339,98.92,5,14,7.74,ML,1680543242
276,yiyang,28.5892,112.3283,57.43,96,97,9.84,CN,1680543242
277,pevek,69.7008,170.3133,-27.51,99,80,6.96,RU,1680543128
278,wamba,8.9333,8.6,89.2,22,67,4.38,NG,1680543242
279,kathmandu,27.7167,85.3167,60.84,77,20,4.61,NP,1680543243
280,les cayes,18.2,-73.75,83.66,61,26,12.37,HT,1680543243
281,priladozhskiy,59.85,31.4833,28.85,93,100,10.8,RU,1680543244
282,saint-philippe,-21.3585,55.7679,74.79,84,100,8.9,RE,1680543105
283,puerto escondido,15.85,-97.0667,86.83,66,20,6.91,MX,1680543245
284,luena,-11.7833,19.9167,68.18,88,20,4.61,AO,1680543245
285,vila franca do campo,37.7167,-25.4333,61.21,62,39,5.06,PT,1680543245
286,karaman,37.0833,33.25,50.79,60,82,13.65,TR,1680543246
287,sisimiut,66.9395,-53.6735,18.68,69,2,11.21,GL,1680543246
288,coahuayana,18.7333,-103.6833,90.19,37,53,7.67,MX,1680543246
289,gilbues,-9.8317,-45.3439,84.0,52,63,4.16,BR,1680543247
290,havoysund,70.9963,24.6622,32.23,73,95,17.54,NO,1680543247
291,hollins,37.3413,-79.9431,69.19,47,40,4.0,US,1680543247
292,tautira,-17.7333,-149.15,81.23,73,78,4.88,PF,1680543248
293,quatre cocos,-20.2078,57.7625,79.09,80,64,7.96,MU,1680543248
294,wattegama,6.7989,81.4808,74.23,93,82,1.39,LK,1680543249
295,norman wells,65.282,-126.8329,14.04,85,75,4.61,CA,1680543225
296,avarua,-21.2078,-159.775,77.05,69,95,6.91,CK,1680543249
297,mezen,65.8522,44.24,10.54,96,29,4.85,RU,1680543250
298,howard springs,-12.497,131.047,78.71,97,80,2.13,AU,1680543250
299,alofi,-19.0595,-169.9187,76.89,94,75,9.22,NU,1680543250
300,petrolina de goias,-16.095,-49.3381,79.9,71,77,4.45,BR,1680543250
301,maldonado,-34.6667,-54.9167,67.39,83,100,4.27,UY,1680543251
302,japura,-0.3167,102.35,73.92,97,100,2.15,ID,1680543251
303,knysna,-34.0363,23.0471,61.72,91,43,5.95,ZA,1680543251
304,lucea,18.451,-78.1736,84.06,68,4,13.73,JM,1680543251
305,saint george,37.1041,-113.5841,60.26,38,100,15.99,US,1680543125
306,pisco,-13.7,-76.2167,77.05,83,0,11.5,PE,1680543126
307,chokurdakh,70.6333,147.9167,6.55,95,100,10.0,RU,1680543252
308,karpathos,35.507,27.2132,62.56,88,0,26.46,GR,1680543252
309,saldanha,-33.0117,17.9442,66.25,86,46,9.53,ZA,1680543094
310,eureka,40.8021,-124.1637,47.19,83,89,1.99,US,1680543252
311,bilma,18.6853,12.9164,84.49,4,100,7.09,NE,1680543253
